Date,active_calories,sedentary_time,steps,activity_score,readiness_score,sleep_score,temperature_deviation,average_breath,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,latency,light_sleep_duration,rem_sleep_duration,time_in_bed,total_sleep_duration
11/9/19,366,21180,6444,70,63,,0.5,,,,,,,,,,,
11/10/19,347,25260,5689,60,95,,0.05,,,,,,,,,,,
11/11/19,216,18840,3532,62,85,,0.05,,,,,,,,,,,
11/12/19,704,25200,6100,74,79,,-0.14,,,,,,,,,,,
11/13/19,201,13200,3339,75,77,,0.02,,,,,,,,,,,
11/14/19,244,16860,3866,74,74,,0.08,,,,,,,,,,,
11/15/19,431,13860,2749,80,82,,-0.16,,,,,,,,,,,
11/16/19,567,32460,9539,76,75,,0.02,,,,,,,,,,,
11/17/19,768,30240,8022,86,74,,-0.09,,,,,,,,,,,
11/18/19,252,19380,4314,89,64,,-0.12,,,,,,,,,,,
11/19/19,636,37140,6219,84,75,,0.31,,,,,,,,,,,
11/20/19,326,42420,5227,82,70,,0.06,,,,,,,,,,,
11/21/19,474,16620,3900,89,70,,0.01,,,,,,,,,,,
11/22/19,212,16740,3558,88,59,,-0.29,,,,,,,,,,,
11/23/19,344,38580,6007,76,73,,0.18,,,,,,,,,,,
11/24/19,637,31860,7620,74,88,,-0.12,,,,,,,,,,,
11/25/19,652,16800,3600,85,69,,0.25,,,,,,,,,,,
11/26/19,180,17220,2856,80,74,,-0.14,,,,,,,,,,,
11/27/19,369,29880,6440,76,71,,0.2,,,,,,,,,,,
11/28/19,315,38760,5381,68,80,,-0.08,,,,,,,,,,,
11/29/19,327,46680,5094,61,72,,0.22,,,,,,,,,,,
11/30/19,312,40920,4998,65,81,,-0.05,,,,,,,,,,,
12/1/19,347,27840,5524,65,80,,-0.15,,,,,,,,,,,
12/2/19,499,16500,4936,64,70,,-0.09,,,,,,,,,,,
12/3/19,314,20100,5168,63,72,,-0.04,,,,,,,,,,,
12/4/19,784,38040,7819,72,62,,0.06,,,,,,,,,,,
12/5/19,164,20580,2810,77,68,,0.07,,,,,,,,,,,
12/6/19,565,18000,5323,84,74,,0.14,,,,,,,,,,,
12/7/19,622,27780,10754,87,71,,0.05,,,,,,,,,,,
12/8/19,737,29400,5736,91,84,,-0.03,,,,,,,,,,,
12/9/19,232,44580,4169,86,72,,-0.01,,,,,,,,,,,
12/10/19,498,33540,6450,94,64,,0.18,,,,,,,,,,,
12/11/19,191,18300,3163,89,79,,-0.01,,,,,,,,,,,
12/12/19,333,20280,5689,87,84,,-0.06,,,,,,,,,,,
12/13/19,158,14760,2701,77,67,,0.32,,,,,,,,,,,
12/14/19,407,35160,6873,66,94,,-0.05,,,,,,,,,,,
12/15/19,247,41100,4250,53,82,,0.12,,,,,,,,,,,
12/16/19,589,33720,4002,71,74,,-0.3,,,,,,,,,,,
12/17/19,248,19920,3641,71,64,,0.11,,,,,,,,,,,
12/18/19,195,15360,3512,70,68,,0.18,,,,,,,,,,,
12/19/19,235,27960,3260,68,64,,0.17,,,,,,,,,,,
12/20/19,285,18300,5008,68,69,,0.16,,,,,,,,,,,
12/21/19,451,28200,7624,64,73,,0.21,,,,,,,,,,,
12/22/19,274,38460,4542,59,85,,-0.08,,,,,,,,,,,
12/23/19,362,29760,6299,52,73,,-0.05,,,,,,,,,,,
12/24/19,293,42900,4895,47,83,,0.41,,,,,,,,,,,
12/25/19,485,37740,7672,50,83,,-0.17,,,,,,,,,,,
12/26/19,407,42120,6815,55,68,,-0.27,,,,,,,,,,,
12/27/19,268,28440,4204,59,77,,-0.01,,,,,,,,,,,
12/28/19,505,32760,8530,59,89,,0.17,,,,,,,,,,,
12/29/19,355,40140,5468,57,69,,0.15,,,,,,,,,,,
12/30/19,323,43320,5392,56,78,,0.2,,,,,,,,,,,
12/31/19,443,40740,7366,57,57,,0.16,,,,,,,,,,,
1/1/20,383,22920,6520,70,48,,-0.06,,,,,,,,,,,
1/2/20,597,16260,3550,80,73,,0.23,,,,,,,,,,,
1/3/20,198,21540,3386,79,64,,0.32,,,,,,,,,,,
1/4/20,307,46020,5256,70,73,,-0.16,,,,,,,,,,,
1/5/20,723,35760,5513,86,61,,-0.01,,,,,,,,,,,
1/6/20,172,19500,2913,90,62,,0.21,,,,,,,,,,,
1/7/20,71,10560,1232,83,40,,2.08,,,,,,,,,,,
1/8/20,268,34740,4192,78,39,,0.2,,,,,,,,,,,
1/9/20,229,21540,3937,72,49,,0.56,,,,,,,,,,,
1/10/20,199,32760,3349,65,63,,-0.01,,,,,,,,,,,
1/11/20,343,41280,6106,62,65,,0.13,,,,,,,,,,,
1/12/20,353,42180,4862,58,52,,0.04,,,,,,,,,,,
