Date,active_calories,sedentary_time,steps,activity_score,readiness_score,sleep_score,temperature_deviation,average_breath,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,latency,light_sleep_duration,rem_sleep_duration,time_in_bed,total_sleep_duration
9/8/20,458,38400,4046,75,86,,-0.49,,,,,,,,,,,
9/9/20,273,38040,4521,74,84,,-0.24,,,,,,,,,,,
9/10/20,413,44280,3257,66,80,,-0.02,,,,,,,,,,,
9/11/20,297,42480,5025,64,74,,-0.06,,,,,,,,,,,
9/12/20,274,42120,4707,59,81,,-0.47,,,,,,,,,,,
9/13/20,590,36540,6390,65,86,,0.12,,,,,,,,,,,
9/14/20,841,36900,7847,75,82,,-0.07,,,,,,,,,,,
9/15/20,210,48900,3736,69,69,,0.23,,,,,,,,,,,
9/16/20,440,39780,3851,75,84,,0.04,,,,,,,,,,,
9/17/20,170,47940,2872,71,85,,-0.63,,,,,,,,,,,
9/18/20,378,40740,3650,74,78,,-0.22,,,,,,,,,,,
9/19/20,614,35220,9061,81,84,,0.01,,,,,,,,,,,
9/20/20,848,37560,9004,84,82,,-0.13,,,,,,,,,,,
9/21/20,484,41040,4354,84,66,,0.39,,,,,,,,,,,
9/22/20,422,43500,3860,83,76,,-0.39,,,,,,,,,,,
9/23/20,175,46500,3132,81,74,,0.13,,,,,,,,,,,
9/24/20,210,41760,3497,82,87,,0.03,,,,,,,,,,,
9/25/20,408,49200,3852,77,85,,0.02,,,,,,,,,,,
9/26/20,1060,28080,13386,87,80,,-0.01,,,,,,,,,,,
9/27/20,369,26460,6513,80,78,,0.1,,,,,,,,,,,
9/28/20,410,37560,4622,69,79,,0.19,,,,,,,,,,,
9/29/20,227,46800,3891,66,81,,0.19,,,,,,,,,,,
9/30/20,222,35280,3617,66,81,,0.4,,,,,,,,,,,
10/1/20,602,42060,5887,69,87,,0.12,,,,,,,,,,,
10/2/20,406,32640,6729,71,74,,-0.07,,,,,,,,,,,
10/3/20,797,38340,7885,72,90,,-0.24,,,,,,,,,,,
10/4/20,456,31500,5328,74,75,,0.14,,,,,,,,,,,
10/5/20,407,28800,4203,75,87,,-0.34,,,,,,,,,,,
10/6/20,780,36780,8410,80,90,,0.08,,,,,,,,,,,
10/7/20,547,38040,6554,80,75,,0.2,,,,,,,,,,,
10/8/20,630,39300,5937,84,75,,0.29,,,,,,,,,,,
10/9/20,338,31260,5656,87,83,,-0.2,,,,,,,,,,,
10/10/20,481,23700,7926,84,84,,0.2,,,,,,,,,,,
10/11/20,1008,32040,11033,86,89,,-0.16,,,,,,,,,,,
10/12/20,500,36420,7113,84,80,,0.12,,,,,,,,,,,
10/13/20,279,42600,4683,77,76,,0.03,,,,,,,,,,,
10/14/20,301,44640,4912,74,79,,-0.12,,,,,,,,,,,
10/15/20,196,44760,3642,63,83,,-0.06,,,,,,,,,,,
10/16/20,445,36180,5969,65,82,,-0.13,,,,,,,,,,,
10/17/20,479,39180,4892,65,90,,-0.14,,,,,,,,,,,
10/18/20,461,34800,7846,53,81,,0.04,,,,,,,,,,,
10/19/20,203,40980,3442,51,86,,0.07,,,,,,,,,,,
10/20/20,273,42540,4503,50,84,,0.08,,,,,,,,,,,
10/21/20,389,42480,3185,52,90,,0.04,,,,,,,,,,,
10/22/20,894,38820,9606,69,80,,-0.3,,,,,,,,,,,
10/23/20,263,42600,4210,67,80,,-0.06,,,,,,,,,,,
10/24/20,389,36900,6873,69,86,,0.14,,,,,,,,,,,
10/25/20,286,35880,4610,68,81,,0.04,,,,,,,,,,,
10/26/20,217,41340,3818,63,85,,0.08,,,,,,,,,,,
10/27/20,356,30720,6089,64,90,,-0.09,,,,,,,,,,,
10/28/20,41,540,562,62,74,,0.22,,,,,,,,,,,
10/30/20,107,27120,2000,50,,,,,,,,,,,,,,
10/31/20,379,38760,6654,46,76,,-0.05,,,,,,,,,,,
11/1/20,357,42600,5817,47,74,,0.12,,,,,,,,,,,
11/2/20,371,41280,6670,49,74,,-0.04,,,,,,,,,,,
11/3/20,208,41460,3579,47,63,,-0.2,,,,,,,,,,,
11/4/20,351,35580,5940,50,69,,0.3,,,,,,,,,,,
11/5/20,379,40380,6558,48,82,,-0.07,,,,,,,,,,,
11/6/20,332,38340,5855,49,67,,-0.07,,,,,,,,,,,
11/7/20,544,32400,6333,60,63,,0.08,,,,,,,,,,,
11/8/20,430,36180,7395,58,73,,-0.16,,,,,,,,,,,
11/9/20,456,37020,7976,58,70,,-0.1,,,,,,,,,,,
11/10/20,433,31020,6610,62,69,,-0.38,,,,,,,,,,,
11/11/20,233,38580,4028,53,71,,0.02,,,,,,,,,,,
11/12/20,626,31680,6739,76,81,,-0.05,,,,,,,,,,,
11/13/20,270,37560,4859,72,79,,0.13,,,,,,,,,,,
11/14/20,377,39120,6942,66,78,,0.05,,,,,,,,,,,
11/15/20,580,34440,6055,79,79,,-0.23,,,,,,,,,,,
11/16/20,364,35340,6504,77,74,,-0.03,,,,,,,,,,,
11/17/20,934,32400,10901,82,81,,0.12,,,,,,,,,,,
11/18/20,563,35640,6184,83,73,,-0.01,,,,,,,,,,,
11/19/20,553,29340,9465,82,83,,-0.15,,,,,,,,,,,
11/20/20,550,28800,9109,74,81,,-0.14,,,,,,,,,,,
11/21/20,382,28980,6250,81,82,,0.1,,,,,,,,,,,
11/22/20,298,39840,5439,81,89,,0.13,,,,,,,,,,,
11/23/20,458,41820,5092,80,82,,0.12,,,,,,,,,,,
11/24/20,581,35520,4818,85,76,,0.11,,,,,,,,,,,
11/25/20,312,37800,5434,75,76,,-0.07,,,,,,,,,,,
11/26/20,453,36900,7393,73,85,,0.29,,,,,,,,,,,
11/27/20,737,31320,6511,79,82,,-0.09,,,,,,,,,,,
11/28/20,1017,35100,11547,84,72,,-0.01,,,,,,,,,,,
11/29/20,610,27120,3829,89,79,,0.04,,,,,,,,,,,
11/30/20,308,47940,5485,79,70,,0.12,,,,,,,,,,,
12/1/20,240,38700,4101,84,69,,0.18,,,,,,,,,,,
12/2/20,605,41400,5212,88,84,,0.03,,,,,,,,,,,
12/3/20,475,40020,3542,87,78,,-0.27,,,,,,,,,,,
12/4/20,477,33900,5480,85,84,,0.15,,,,,,,,,,,
12/5/20,689,34440,6161,78,85,,0.05,,,,,,,,,,,
12/6/20,497,34140,4405,71,81,,0.21,,,,,,,,,,,
12/7/20,332,41220,3699,66,83,,0.2,,,,,,,,,,,
12/8/20,547,35460,4252,76,77,,0.01,,,,,,,,,,,
12/9/20,231,41340,4103,68,84,,0.08,,,,,,,,,,,
12/10/20,365,39720,6109,67,88,,0.02,,,,,,,,,,,
12/11/20,632,40260,5572,75,79,,0.01,,,,,,,,,,,
12/12/20,872,35160,5728,80,80,,-0.06,,,,,,,,,,,
12/13/20,598,29760,5286,86,66,,-0.19,,,,,,,,,,,
12/14/20,493,40620,5874,79,74,,0.32,,,,,,,,,,,
12/15/20,312,41940,5215,76,80,,0.06,,,,,,,,,,,
12/16/20,261,31860,4432,86,72,,0.22,,,,,,,,,,,
12/17/20,477,37080,5097,83,93,,0.06,,,,,,,,,,,
12/18/20,480,43080,4261,77,86,,0.14,,,,,,,,,,,
12/19/20,474,29100,7941,72,74,,0.22,,,,,,,,,,,
12/20/20,636,32220,6775,70,75,,0.29,,,,,,,,,,,
12/21/20,202,43080,3486,63,78,,0.13,,,,,,,,,,,
12/22/20,465,43020,4986,69,75,,0.03,,,,,,,,,,,
12/23/20,515,39900,5503,78,69,,0.04,,,,,,,,,,,
12/24/20,726,23460,11628,86,70,,0.06,,,,,,,,,,,
12/25/20,549,34980,6915,85,61,,-0.07,,,,,,,,,,,
12/26/20,719,32340,7471,88,70,,0.06,,,,,,,,,,,
12/27/20,639,40980,7134,83,64,,0.04,,,,,,,,,,,
12/28/20,489,39240,5872,72,59,,0.26,,,,,,,,,,,
12/29/20,213,45420,3649,78,51,,0.24,,,,,,,,,,,
12/30/20,666,39120,6788,93,61,,0.31,,,,,,,,,,,
12/31/20,605,35640,7677,93,63,,0.18,,,,,,,,,,,
1/1/21,697,38700,8660,93,55,,0.07,,,,,,,,,,,
1/2/21,670,25680,8778,93,63,,-0.02,,,,,,,,,,,
1/3/21,763,23820,7253,93,66,,0.22,,,,,,,,,,,
1/4/21,499,37080,3741,85,70,,0.03,,,,,,,,,,,
1/5/21,608,34020,5177,95,73,,0.35,,,,,,,,,,,
1/6/21,216,40380,3903,92,76,,0.02,,,,,,,,,,,
1/7/21,360,27900,3498,92,79,,0.22,,,,,,,,,,,
1/8/21,295,40260,4771,83,82,,0.34,,,,,,,,,,,
1/9/21,439,36840,6939,80,63,,0.09,,,,,,,,,,,
1/10/21,515,26280,5351,85,67,,0.24,,,,,,,,,,,
1/11/21,598,22560,6955,92,73,,0.21,,,,,,,,,,,
1/12/21,207,24660,3532,82,82,,-0.06,,,,,,,,,,,
1/13/21,507,20400,2490,89,82,,0.26,,,,,,,,,,,
1/14/21,226,31260,3865,85,76,,0.07,,,,,,,,,,,
1/15/21,510,29520,3375,83,78,,0.26,,,,,,,,,,,
1/16/21,507,29160,4770,82,,,,,,,,,,,,,,
1/17/21,640,34560,5309,80,74,,-0.13,,,,,,,,,,,
1/18/21,448,24180,4658,76,73,,0.13,,,,,,,,,,,
1/19/21,318,39480,5105,75,79,,0.29,,,,,,,,,,,
1/20/21,290,26100,4670,78,75,,0.07,,,,,,,,,,,
1/21/21,854,36840,6866,80,85,,0.01,,,,,,,,,,,
1/22/21,468,38520,4351,79,78,,0.19,,,,,,,,,,,
1/23/21,520,31020,4545,85,63,,0.06,,,,,,,,,,,
1/24/21,632,26820,5551,84,78,,-0.24,,,,,,,,,,,
1/25/21,506,39960,3567,78,78,,-0.13,,,,,,,,,,,
1/26/21,583,41040,5502,79,67,,-0.13,,,,,,,,,,,
1/27/21,228,29640,3835,79,69,,-0.09,,,,,,,,,,,
1/28/21,602,42300,4923,87,77,,-0.01,,,,,,,,,,,
1/29/21,602,42960,4480,91,79,,-0.16,,,,,,,,,,,
1/30/21,699,35820,5658,93,74,,0.14,,,,,,,,,,,
1/31/21,350,38040,6166,89,63,,0.08,,,,,,,,,,,
2/1/21,615,35040,6127,95,72,,0.05,,,,,,,,,,,
2/2/21,489,34980,3468,93,80,,-0.05,,,,,,,,,,,
2/3/21,140,13860,2350,98,,,,,,,,,,,,,,
2/4/21,110,14760,1919,92,63,,0.1,,,,,,,,,,,
2/5/21,736,36240,5837,89,87,,0.12,,,,,,,,,,,
2/6/21,527,42660,4943,82,83,,-0.04,,,,,,,,,,,
2/7/21,485,29100,5869,82,73,,-0.04,,,,,,,,,,,
2/8/21,629,39300,4814,76,64,,0.37,,,,,,,,,,,
2/9/21,289,40500,4828,73,82,,-0.02,,,,,,,,,,,
2/10/21,733,30900,4846,87,79,,-0.1,,,,,,,,,,,
2/11/21,556,43500,4175,82,88,,-0.44,,,,,,,,,,,
2/12/21,573,43800,4525,77,82,,-0.23,,,,,,,,,,,
2/13/21,372,37260,6808,81,83,,0.07,,,,,,,,,,,
2/14/21,378,35640,3968,85,83,,-0.03,,,,,,,,,,,
2/15/21,532,39000,4139,79,84,,0.28,,,,,,,,,,,
2/16/21,577,40980,5227,79,88,,-0.06,,,,,,,,,,,
2/17/21,599,40860,4100,76,84,,0.14,,,,,,,,,,,
2/18/21,338,40320,5929,76,79,,0.09,,,,,,,,,,,
2/19/21,203,34320,3462,76,90,,0.07,,,,,,,,,,,
2/20/21,520,38820,5431,0,46,,1.21,,,,,,,,,,,
2/21/21,351,29760,5920,71,80,,0.35,,,,,,,,,,,
2/22/21,235,22200,3910,68,76,,-0.14,,,,,,,,,,,
2/23/21,508,35820,6760,63,84,,0.01,,,,,,,,,,,
2/24/21,232,40980,3826,50,90,,-0.21,,,,,,,,,,,
2/25/21,388,39000,3175,53,88,,-0.1,,,,,,,,,,,
2/26/21,530,40080,4955,60,90,,-0.48,,,,,,,,,,,
2/27/21,523,35400,5588,64,77,,0.09,,,,,,,,,,,
2/28/21,720,33780,5644,73,81,,0.35,,,,,,,,,,,
3/1/21,561,43260,4141,70,89,,-0.06,,,,,,,,,,,
3/2/21,249,43560,4336,67,72,,0.12,,,,,,,,,,,
3/3/21,514,35880,6872,76,84,,0.01,,,,,,,,,,,
3/4/21,204,38940,3437,73,81,,0.04,,,,,,,,,,,
3/5/21,614,35160,4558,75,89,,0.21,,,,,,,,,,,
3/6/21,458,34260,7726,75,87,,-0.12,,,,,,,,,,,
3/7/21,586,29520,6118,71,95,,-0.09,,,,,,,,,,,
3/8/21,310,24960,5283,65,92,,-0.36,,,,,,,,,,,
3/9/21,399,42660,4412,61,95,,-0.24,,,,,,,,,,,
3/10/21,431,26400,4493,68,93,,-0.04,,,,,,,,,,,
3/11/21,548,47940,3947,65,95,,-0.36,,,,,,,,,,,
3/12/21,218,42360,3895,63,80,,-0.16,,,,,,,,,,,
3/13/21,580,42540,4635,73,82,,-0.2,,,,,,,,,,,
3/14/21,352,40800,5779,70,81,,-0.11,,,,,,,,,,,
3/15/21,231,46380,3711,66,79,,0.26,,,,,,,,,,,
3/16/21,305,41520,2918,65,84,,0.2,,,,,,,,,,,
3/17/21,193,44520,3334,59,89,,0.16,,,,,,,,,,,
3/18/21,453,46860,4027,63,88,,-0.12,,,,,,,,,,,
3/19/21,610,27480,8205,77,75,,-0.13,,,,,,,,,,,
3/20/21,455,35580,8264,67,83,,0.05,,,,,,,,,,,
3/21/21,926,24720,8431,75,83,,0.05,,,,,,,,,,,
3/22/21,250,33780,4342,72,,,,,,,,,,,,,,
3/23/21,384,38520,3991,76,67,,0.78,,,,,,,,,,,
3/24/21,184,40380,3186,74,79,,0.41,,,,,,,,,,,
3/25/21,565,38940,4704,77,97,,-0.07,,,,,,,,,,,
3/26/21,929,34800,9871,80,84,,-0.24,,,,,,,,,,,
3/27/21,767,36420,8978,84,86,,-0.31,,,,,,,,,,,
3/28/21,818,29520,10933,85,71,,0.11,,,,,,,,,,,
3/29/21,538,34920,4241,78,76,,-0.05,,,,,,,,,,,
3/30/21,297,41280,5047,75,80,,0.21,,,,,,,,,,,
3/31/21,434,42540,4152,82,84,,-0.2,,,,,,,,,,,
4/1/21,1008,41520,9400,85,83,,-0.31,,,,,,,,,,,
4/2/21,650,28440,10665,91,76,,-0.21,,,,,,,,,,,
4/3/21,530,28440,9229,83,77,,-0.39,,,,,,,,,,,
4/4/21,554,26880,8730,78,80,,0.07,,,,,,,,,,,
4/5/21,250,29040,4545,70,72,,0.23,,,,,,,,,,,
4/6/21,677,36960,6298,81,85,,-0.02,,,,,,,,,,,
4/7/21,202,44400,3519,76,80,,0.07,,,,,,,,,,,
4/8/21,539,37560,4358,76,85,,-0.04,,,,,,,,,,,
4/9/21,1063,36600,10182,79,84,,0.12,,,,,,,,,,,
4/10/21,637,29640,10136,86,75,,0.12,,,,,,,,,,,
4/11/21,768,30720,8674,83,70,,-0.17,,,,,,,,,,,
4/12/21,158,39660,2806,78,81,,-0.06,,,,,,,,,,,
4/13/21,600,34560,6736,85,89,,-0.02,,,,,,,,,,,
4/14/21,1142,34440,10643,89,82,,-0.01,,,,,,,,,,,
4/15/21,539,45060,3783,83,80,,-0.29,,,,,,,,,,,
4/16/21,307,40800,5236,79,81,,-0.06,,,,,,,,,,,
4/17/21,633,39060,6266,88,79,,-0.19,,,,,,,,,,,
4/18/21,558,34680,5446,85,73,,-0.33,,,,,,,,,,,
4/19/21,777,38040,7575,87,76,,-0.2,,,,,,,,,,,
4/20/21,504,41340,4845,84,74,,0.29,,,,,,,,,,,
4/21/21,272,37680,4546,78,84,,-0.1,,,,,,,,,,,
4/22/21,410,38940,4755,83,86,,-0.16,,,,,,,,,,,
4/23/21,563,42540,4430,83,87,,-0.26,,,,,,,,,,,
4/24/21,993,30480,9710,87,76,,-0.13,,,,,,,,,,,
4/25/21,1195,33480,12497,86,67,,-0.03,,,,,,,,,,,
4/26/21,198,41580,3306,75,73,,-0.11,,,,,,,,,,,
4/27/21,398,38760,4289,79,89,,-0.03,,,,,,,,,,,
4/28/21,458,37380,3387,80,91,,-0.38,,,,,,,,,,,
4/29/21,670,35520,6223,81,86,79,-0.11,13.375,56.26,42,2670,8310,90,480,11400,4680,27060,24390
4/30/21,313,44280,5359,78,86,85,-0.14,13.125,58.32,37,1560,9630,95,300,11970,5820,28980,27420
5/1/21,1493,28800,13828,83,83,73,0.08,14,62.87,32,4020,7770,84,180,6840,5790,24420,20400
5/2/21,549,26340,9331,79,72,79,0.03,13.625,61.02,32,2220,8490,91,810,8760,5850,25320,23100
5/3/21,478,25440,8428,78,92,93,-0.14,14,56.48,41,4920,9600,87,1140,12870,9990,37380,32460
5/4/21,518,20760,3007,77,,,,,,,,,,,,,,
5/5/21,1337,35160,11644,75,76,73,0.25,14.25,62.38,34,3840,5100,86,390,14160,3900,27000,23160
5/6/21,241,38400,3670,71,77,84,0.09,13.75,58.1,37,1920,5100,93,300,15180,6720,28920,27000
5/7/21,657,41160,6026,78,88,83,0.29,13.625,58.04,40,3930,6480,87,900,15390,5100,30900,26970
5/8/21,381,36240,6853,76,84,77,0.16,13.5,63.63,34,2370,6990,91,240,12390,5310,27060,24690
5/9/21,478,32340,8063,77,88,79,-0.11,13.75,60.38,36,5580,7350,82,1200,10680,6990,30600,25020
5/10/21,638,34980,4696,76,87,79,-0.05,13.75,60.6,34,3090,9930,89,330,9930,4950,27900,24810
5/11/21,1011,41460,9029,78,83,85,0.22,13.25,60.96,38,1470,7860,95,180,12720,6390,28440,26970
5/12/21,363,38700,6146,72,75,78,-0.11,13.375,60.55,37,5520,7290,82,1050,13020,5490,31320,25800
5/13/21,467,38520,4010,75,82,75,0.08,13.75,57.3,36,2700,7260,89,780,9090,4650,23700,21000
5/14/21,619,39840,7461,75,85,84,0.16,13.5,61.57,40,2550,6180,91,990,14100,5730,28560,26010
5/15/21,1045,39240,10437,80,76,73,-0.08,13.75,60.92,32,1890,8250,92,180,8760,4620,23520,21630
5/16/21,375,31620,6085,81,80,86,-0.11,13.375,57.07,39,1650,6720,94,360,14130,6720,29220,27570
5/17/21,149,43740,2597,74,81,91,0.49,14.125,58.18,40,3300,8070,91,570,13590,9960,34920,31620
5/18/21,520,43680,3987,74,85,77,-0.12,13.375,55.16,41,1440,8190,94,570,10950,4080,24660,23220
5/19/21,180,49680,3161,69,83,80,-0.1,13.375,60.95,36,2130,7620,92,480,11220,5250,26220,24090
5/20/21,448,40140,4072,73,90,82,-0.01,13.75,56.32,39,4260,6300,86,1140,14130,5910,30600,26340
5/21/21,442,38340,2970,71,84,77,0.16,13.375,55.4,45,2010,6300,92,180,13080,4830,26220,24210
5/22/21,452,33000,7468,66,84,75,-0.23,14,58.57,39,2160,6780,91,360,11040,5100,25080,22920
5/23/21,1269,33240,13301,77,92,87,0.17,13.375,56.77,42,3000,9570,90,1110,11280,6930,30780,27780
5/24/21,529,36480,4238,75,81,85,-0.17,14.125,60.05,34,1980,6270,93,480,13830,7320,29400,27420
5/25/21,955,32700,10333,78,82,81,0.12,13.875,60.6,37,1650,7950,94,480,11190,5850,26640,24990
5/26/21,156,47280,2651,71,71,81,0.01,14.125,59.96,36,2550,11280,91,180,8910,5760,28500,25950
5/27/21,642,36720,4309,81,92,87,-0.09,13.75,58.34,39,3030,5790,90,840,14820,7740,31380,28350
5/28/21,518,29880,8071,81,88,85,-0.02,14.25,60.65,28,6660,6960,82,300,15570,8670,37860,31200
5/29/21,579,28500,9727,82,85,75,-0.07,13.375,56.51,40,1680,6840,93,270,11130,5430,25080,23400
5/30/21,933,22320,10658,81,,0,,0,0,0,0,0,0,0,0,0,25260,0
5/31/21,606,38700,5680,75,73,70,-0.17,13.75,60.25,31,2460,7500,90,330,9690,3870,23520,21060
6/1/21,396,40020,6208,69,81,80,0.07,13.5,59.51,36,5280,6480,83,840,12930,5730,30420,25140
6/2/21,598,36660,4599,84,80,83,0.21,13.875,60.54,37,3330,7680,89,810,13530,5280,29820,26490
6/3/21,1013,44520,11360,86,80,84,-0.01,13.875,63.61,29,3360,7830,89,120,12840,6750,30780,27420
6/4/21,415,37860,7021,92,66,68,0.13,13.625,62.76,32,1380,8160,94,300,7470,5370,22380,21000
6/5/21,340,43680,5395,91,81,85,0.1,13.5,63.65,33,1050,9600,97,150,13290,7200,31140,30090
6/6/21,353,28620,5252,95,57,63,0.2,14.25,68.08,27,1170,7440,94,330,6060,4110,18780,17610
6/7/21,165,38700,3198,81,85,89,-0.02,14.75,61.45,38,5280,10320,85,420,12990,6690,35280,30000
6/8/21,813,40020,7965,92,92,87,-0.07,14,56.65,40,2490,8310,92,270,13500,6660,30960,28470
6/9/21,548,39060,3879,88,78,85,0.09,14.25,60.2,33,2670,8250,91,360,14520,5100,30540,27870
6/10/21,257,49560,4298,76,83,84,0.15,13.875,60.59,38,3960,7500,87,1080,12480,5760,29700,25740
6/11/21,563,27360,4097,83,86,76,-0.09,13.5,58.94,41,2880,6870,89,420,11880,4650,26280,23400
6/12/21,700,35040,11650,83,83,83,-0.02,14,62.9,31,1440,5700,95,450,14340,5640,27120,25680
6/13/21,589,26640,6704,82,85,79,-0.31,13.875,58.43,36,2130,8940,92,240,9780,6030,26880,24750
6/14/21,1015,29460,9788,83,88,79,-0.12,13.875,61.57,36,6030,8040,81,210,11880,6270,32220,26190
6/15/21,541,40620,3363,73,82,86,0.07,14.5,59.39,39,4710,6630,86,150,14880,7560,33780,29070
6/16/21,303,40320,4604,79,84,76,0.11,13.875,61.06,36,2610,8220,90,180,11670,4260,26760,24150
6/17/21,675,38700,6216,79,92,86,-0.02,13.375,58.17,34,4920,6720,85,690,14550,6870,33060,28140
6/18/21,390,38280,6595,77,86,79,-0.4,13.75,55.29,43,4110,8340,86,690,10320,5670,28440,24330
6/19/21,710,23520,11763,84,76,72,-0.02,14.25,61.75,32,1440,6900,94,240,10380,4320,23040,21600
6/20/21,397,27720,6800,80,81,82,-0.09,13.625,61.13,30,2850,7500,90,180,12570,5640,28560,25710
6/21/21,680,23340,11890,72,85,87,0.18,13.5,60.05,43,3480,7650,89,480,13590,7200,31920,28440
6/22/21,659,25620,11494,73,83,92,-0.01,13.625,59.87,35,3000,6960,92,1050,16650,8790,35400,32400
6/23/21,714,19740,11748,74,93,86,-0.03,13.75,56.38,37,3270,8220,90,180,13020,8190,32700,29430
6/24/21,561,26640,9272,64,94,89,-0.01,13.625,55.09,41,6300,7500,84,270,16740,7860,38400,32100
6/25/21,678,28920,11420,66,81,74,0.26,14.25,61.28,29,2760,4200,90,30,16500,5160,28620,25860
6/26/21,324,24300,5600,60,80,77,-0.09,13.75,59.9,30,2310,6990,92,210,12660,5460,27420,25110
6/27/21,854,32760,8987,79,91,86,-0.11,13.5,56.1,35,3150,6210,89,930,12450,6630,28440,25290
6/28/21,471,43560,3544,79,75,66,0.15,13.875,57.96,34,6180,2520,80,3510,13830,8010,30540,24360
6/29/21,236,43620,4121,71,85,78,-0.05,13.25,55.81,41,2160,8130,92,390,10440,5670,26400,24240
6/30/21,515,42840,3283,78,82,73,-0.08,13.375,57.71,37,2610,6630,89,480,9930,5370,24540,21930
7/1/21,419,35940,6034,80,84,82,0.07,13.625,58.24,36,7050,5670,79,900,14910,5850,33480,26430
7/2/21,814,33780,8192,81,91,89,0.06,13.625,57.97,35,5850,10590,83,600,11760,7020,35220,29370
7/3/21,504,36000,8262,0,65,83,0.47,15.375,67.47,24,3570,4860,89,270,16500,6210,31140,27570
7/4/21,484,22020,8280,0,73,74,0.45,14.875,66.42,27,5160,5040,83,180,11430,9090,30720,25560
7/5/21,561,19620,8926,0,40,84,1.96,16.625,77.66,22,11400,6870,75,150,18450,8340,45060,33660
7/6/21,297,40140,4408,0,52,82,0.68,15.125,71.05,24,4050,6660,87,420,10950,9060,30720,26670
7/7/21,267,39120,4690,0,53,81,0.49,15.375,69.93,22,1800,5160,93,210,12360,7800,27120,25320
7/8/21,942,37020,9404,0,80,86,-0.08,14.375,63,30,3090,5460,90,930,13500,7710,29760,26670
7/9/21,469,35940,8154,0,68,76,0.14,14.25,63.75,30,1650,6810,93,270,9150,6510,24120,22470
7/10/21,532,24720,9181,0,76,80,-0.48,13.625,59.91,34,1710,8790,94,420,10200,6660,27360,25650
7/11/21,652,17760,10934,0,78,85,0.12,14,61.93,33,3120,8820,90,180,11040,7200,30180,27060
7/12/21,250,43020,4282,87,83,85,-0.13,13,56,44,2700,7020,91,660,13230,6270,29220,26520
7/13/21,487,37440,6420,89,81,82,0.21,13.5,56.54,40,1590,10350,94,420,10920,4500,27360,25770
7/14/21,1000,36000,9733,87,80,84,-0.14,13.625,62.11,32,4320,10080,87,180,10830,7410,32640,28320
7/15/21,721,32760,11761,91,78,82,-0.14,13,60.08,38,2760,7980,91,180,12660,5760,29160,26400
7/16/21,545,24540,9452,92,73,64,-0.28,13.25,62.71,30,4920,8400,81,300,9150,3570,26040,21120
7/17/21,558,23400,9491,89,81,78,-0.32,12.875,59.47,37,1470,6750,94,300,12780,4980,25980,24510
7/18/21,622,26820,10517,76,87,85,0.08,12.875,56.78,41,3030,7830,90,1200,12810,6450,30120,27090
7/19/21,598,31740,9799,73,80,77,-0.2,14.125,59.09,44,6840,5880,79,1590,12690,7170,32580,25740
7/20/21,1266,27960,14246,72,82,71,-0.12,12.875,56.58,38,3450,8460,87,150,9870,4680,26460,23010
7/21/21,362,40920,5937,67,82,86,-0.15,13.25,57.48,39,3930,10440,88,180,9900,8250,32520,28590
7/22/21,274,45000,3448,72,93,89,-0.06,12.875,60.25,33,1830,9750,95,510,14970,9870,36420,34590
7/23/21,265,44820,4429,74,91,79,-0.29,12.625,58.59,37,2430,6750,91,990,13620,5700,28500,26070
7/24/21,383,36120,6541,73,88,74,-0.08,12.75,56.7,45,3930,8340,87,270,10800,6090,29160,25230
7/25/21,275,44520,4756,67,74,51,-0.27,13.25,58.67,40,4800,5160,78,4230,8220,3300,21480,16680
7/26/21,215,44520,3400,58,90,80,0.09,13.25,58.59,38,2520,7410,91,540,12540,6330,28800,26280
7/27/21,256,24960,4378,52,81,76,-0.26,13.375,59.88,30,2070,7320,92,990,10440,5670,25500,23430
7/28/21,947,36480,9985,65,89,84,-0.08,13,56.58,33,1230,8160,95,300,11280,5730,26400,25170
7/29/21,373,43020,5989,67,77,73,-0.26,12.75,58.7,34,6480,6480,79,150,12990,4530,30480,24000
7/30/21,315,32040,5519,70,82,75,-0.15,12.875,57.19,42,2730,9600,89,180,6900,5550,24780,22050
7/31/21,565,31620,9775,68,91,90,0.18,13.125,59.26,36,2670,8790,92,150,16110,6750,34320,31650
8/1/21,801,32640,11421,78,80,71,-0.05,13.25,58.2,37,1380,7920,94,180,8910,4110,22320,20940
8/2/21,531,42600,3960,79,68,71,0.19,14,61.6,24,2220,6480,90,270,9960,4380,23040,20820
8/3/21,534,42780,4684,83,67,65,-0.11,13.5,59.51,34,3000,3150,87,240,11310,5220,22680,19680
8/4/21,489,46440,4419,79,66,69,-0.06,14.875,59.08,39,5430,7140,78,630,7980,3810,24360,18930
8/5/21,649,41160,5476,82,77,78,-0.01,13.875,56.87,47,3660,8490,86,390,7650,6360,26160,22500
8/6/21,559,35100,6157,74,74,80,0.03,13.625,61.36,35,2310,5940,91,900,13050,5700,27000,24690
8/7/21,1068,28500,9647,74,71,77,0.26,14.125,61.28,36,1860,6840,92,240,8850,6090,23640,21780
8/8/21,1654,19800,16440,75,74,81,0.21,13.875,56.51,42,5070,8160,84,720,13860,5550,32640,27570
8/9/21,1006,21420,13612,75,62,76,-0.08,13.875,61.9,37,2400,8460,90,300,8610,5730,25200,22800
8/10/21,629,27720,9990,72,84,88,-0.08,13.375,56.62,45,4080,6420,87,750,14640,7140,32280,28200
