date,lift_volume_lbs
2021-05-21,12025
2021-05-24,9135
2021-05-27,11825
2021-05-31,9935
2021-06-02,15170
2021-06-09,4830
2021-06-11,11415
2021-06-13,3650
2021-06-15,12170
2021-06-17,10620
2021-06-28,10350
2021-06-30,10770
2021-10-01,2925
2021-10-04,16490
2021-10-06,7675
2021-10-13,7630
2021-10-25,7795
2021-11-12,9830
2021-11-19,9220
2021-11-25,9490
2021-12-06,7940
2022-01-03,10515
2022-01-08,11315
2022-01-16,7230
2022-01-19,10695
2022-02-02,10065
2022-02-05,11745
2022-02-21,8485
2022-03-05,13195
2022-03-08,8850
2022-03-10,11315
2022-03-23,8590
2022-03-25,11500
2022-04-15,14330
2022-04-18,11585
2022-04-29,4710
2022-05-13,11705
2022-05-27,7200
2022-06-09,12175
2022-06-11,11630
2022-06-14,14535
2022-06-16,1710
2022-06-24,10520
2022-06-28,9060
2022-07-08,12020
2022-08-06,11835
2022-09-09,9495
2022-09-12,9565
2022-09-19,7350
2022-10-05,15610
2022-10-14,7610
2022-10-16,9705
2022-11-18,11785
2022-11-21,9054
2022-11-23,6640
2022-11-26,7680
2022-11-28,7750
2022-12-01,7485
2022-12-04,11955
2022-12-08,10340
2022-12-11,6840
2022-12-13,9135
2022-12-15,12095
2022-12-22,9265
2022-12-26,9820
2022-12-28,6745
2022-12-31,12205
2023-01-03,9830
2023-01-05,10175
2023-01-06,9515
2023-01-16,10285
2023-01-18,10410
2023-01-23,5655
2023-01-30,11395
2023-02-02,7175
2023-02-07,8055
2023-02-10,11040
2023-02-12,6060
2023-02-15,9647.5
2023-02-17,12795
2023-02-21,8590
2023-02-24,4085
2023-04-10,10465
2023-04-22,7885
2023-04-23,10860
2023-04-24,9575
2023-05-22,11080
2023-07-07,2555
2023-07-08,3985
2023-07-09,2580
2023-07-10,6090
2023-07-12,8385
2023-07-18,6700
2023-07-19,7495
2023-07-21,9620
2023-07-25,9425
2023-07-27,12490
2023-07-28,10825
2023-07-31,7585
2023-08-10,8550
2023-08-18,8525
2023-08-22,10515
2023-08-24,13075
2023-08-27,23440
2023-08-28,8045
2023-09-05,9350
2023-09-07,9635
2023-09-11,11820
2023-09-18,13370
2023-09-20,11515
2023-09-25,6860
2023-09-29,10120
2023-10-05,8475
2023-10-06,12475
2023-10-09,14560
2023-10-12,10925
2023-10-15,14415
2023-10-24,24790
2023-10-27,10500
2023-10-30,8020
2023-11-03,7015
2023-11-05,8010
2023-11-09,8515
2023-11-12,9860
2023-11-14,8810
2023-11-19,8412
2023-11-21,8580
2023-11-25,14045
2023-12-01,9615
2023-12-02,12580
2023-12-03,660
2023-12-08,8175
2023-12-11,8455
2023-12-13,9280
2023-12-16,15430
2023-12-20,9150
2023-12-21,7575
2023-12-29,5155
2024-01-02,6550
2024-01-05,12240
2024-01-06,8190
2024-01-10,5500
2024-01-12,7797
2024-01-14,13170
2024-01-18,10240
2024-01-19,9630
2024-01-23,12762.5
2024-01-25,7570
2024-01-27,8775
2024-01-30,10015
2024-02-04,8895
2024-02-05,13492.5
2024-02-07,10835
2024-02-11,8112.5
2024-02-14,9920
2024-02-16,5250
2024-02-18,9525
2024-02-24,13810
2024-02-25,5580
2024-02-28,9640
2024-03-01,10738
2024-03-04,5455
2024-03-08,8560
2024-03-12,10680
2024-03-18,11555
2024-03-26,9685
2024-03-31,10360
2024-04-09,8750
2024-04-16,10475
2024-04-17,10865
2024-04-23,8760
2024-04-26,7185
2024-04-27,8950
2024-05-02,6920
2024-05-06,9250
2024-05-07,8670
2024-05-15,11850
2024-05-20,6180
2024-05-28,8980
2024-06-02,6840
2024-07-15,13920
2024-08-27,4120
