Date,activityType,duration,cals_burned,meters
2020-10-06,Walking,2460.00,200,
2021-03-06,Walking,1397.69,131.647,1946.3
2021-04-01,Walking,2891.75,321.413,2066.33
2021-04-09,Walking,3915.76,409.432,2686.53
2021-04-19,Walking,1643.93,247.938,1627.13
2021-04-25,Walking,2593.91,336.588,1939.51
2021-05-16,Walking,2832.57,304.915,2311.66
2021-05-31,Walking,727.31,103.708,617.387
2021-06-15,Walking,2100.77,306.91,1850.03
2021-07-29,Walking,2153.05,259.675,1985.2
2021-08-11,Walking,1208.21,102.514,982.451
2021-08-15,Walking,2295.43,304.989,2026.15
2021-08-18,Walking,2184.55,139.789,1411.06
2021-08-29,Walking,2228.09,257.483,1756.28
2021-10-21,Walking,1394.82,108.039,1421.36
2022-01-29,Walking,790.16,84.9209,1127.88
2022-01-31,Walking,1537.63,147.881,2229.53
2022-02-08,Walking,2200.56,168.598,2357.73
2022-02-11,Walking,1928.91,214.829,2810.33
2022-02-28,Walking,887.10,113.793,1343.68
2022-03-03,Walking,1568.79,218.986,2647
2022-03-15,Walking,3271.43,188.968,1794.64
2022-04-03,Walking,1074.04,126.84,1712.91
2022-04-10,Walking,1451.62,167.637,2325.96
2022-04-14,Walking,1879.09,191.736,2366.1
2022-04-26,Walking,968.45,70.1469,911.824
2022-04-26,Walking,802.99,81.2244,1134.88
2022-04-29,Walking,1982.06,104.186,1290.66
2022-05-10,Walking,1746.00,115.704,1241.26
2022-05-12,Walking,1005.59,151.518,1730.74
2022-05-18,Walking,1390.26,112.472,1589.78
2022-05-21,Walking,2588.93,250.493,1798.88
2022-05-27,Walking,1511.48,148.894,1796.6
2022-05-29,Walking,2914.16,255.673,1571.07
2022-05-31,Walking,1447.10,154.696,1431.71
2022-06-05,Walking,1479.21,129.36,1636.49
2022-06-05,Walking,3055.93,264.663,1672.75
2022-06-09,Walking,1680.63,165.98,2101.22
2022-06-12,Walking,1281.57,155.211,1019.62
2022-06-26,Walking,978.45,112.985,789.781
2022-06-29,Walking,1262.62,99.3649,1673.88
2022-07-12,Walking,1805.82,198.479,2474.69
2022-07-17,Walking,2659.04,286.317,1866.94
2022-07-27,Walking,1939.64,193.206,2473.54
2022-07-29,Walking,722.43,73.1021,1101.82
2022-07-30,Walking,1808.61,219.816,2597.05
2022-08-01,Walking,2522.77,234.268,1555.11
2022-08-07,Walking,1801.86,205.541,2780.83
2022-08-14,Walking,1332.01,143.797,1878.57
2022-08-14,Walking,519.00,71.79,784.334
2022-08-18,Walking,1106.62,102.309,1510
2022-08-18,Walking,823.09,87.8255,1124.53
2022-08-19,Walking,1370.12,169.011,2296.51
2022-08-21,Walking,1965.01,237.63,1531.95
2022-08-21,Walking,1657.79,142.319,1651.98
2022-08-28,Walking,2011.08,133.903,1320.13
2022-08-30,Walking,1902.15,175.975,2416.27
2022-09-01,Walking,1351.38,129.894,1690.15
2022-09-02,Walking,1892.46,237.761,1506.09
2022-09-14,Walking,876.59,99.117,896.448
2022-09-15,Walking,1177.77,96.06,1639.04
2022-09-25,Walking,989.24,123.217,1737.14
2022-09-27,Walking,1511.81,240.2,2510.32
2022-10-01,Walking,1468.17,171.522,1227.6
2022-10-28,Walking,1132.37,118.996,1727.01
2022-10-29,Walking,2174.55,238.331,1477.85
2022-12-31,Walking,1284.11,141.422,1772.55
2023-02-13,Walking,172.73,19.4229,244.598
2023-02-27,Walking,399.14,38.5185,432.537
2023-03-30,Walking,1259.77,135.843,1108.13
2023-04-11,Walking,750.54,58.7255,829.153
2023-04-13,Walking,1236.97,155.02,941.517
2023-04-20,Walking,1632.73,187.343,1352.14
2023-04-27,Walking,2640.16,266.794,1711.49
2023-05-04,Walking,2712.90,291.952,1920.51
2023-05-09,Walking,785.29,101.314,1167.28
2023-05-18,Walking,2505.69,267.999,1644.73
2023-05-24,Walking,1372.80,167.569,1129.68
2023-06-09,Walking,70.05,4.5964,83.2941
2023-06-09,Walking,176.50,29.157,266.988
2023-06-09,Walking,422.86,57.59,648.331
2023-06-12,Walking,2084.33,102.228,787.085
2023-06-21,Walking,263.90,37.669,406.716
2023-06-25,Walking,2787.69,223.095,1341.97
2023-07-04,Walking,1712.87,206.524,1291.23
2023-07-07,Walking,769.09,78.509,1145.7
2023-07-20,Walking,278.49,39.35,455.409
2023-07-21,Walking,1852.91,174.95,1979.25
2023-07-22,Walking,709.97,66.8361,1096.58
2023-07-26,Walking,795.31,98.0214,648.675
2023-08-10,Walking,1962.20,254.144,1537.02
2023-08-17,Walking,1821.55,270.548,1598.95
2023-08-19,Walking,341.11,35.3276,498.665
2023-08-19,Walking,382.79,63.9998,620.872
2023-08-28,Walking,2071.72,231.027,1587.59
2023-08-29,Walking,2520.00,171.612,1379.04
2023-09-13,Walking,543.26,48.8414,631.151
2023-09-14,Walking,1856.39,215.883,1574.96
2023-09-16,Walking,1140.00,77.634,1157.04
2023-09-26,Walking,1772.19,223.454,1502.33
2023-09-28,Walking,609.78,71.9911,1052.75
2023-10-04,Walking,918.02,82.9446,1190.71
2023-10-04,Walking,1080.00,39.96,945.761
2023-10-05,Walking,387.10,48.6518,647.747
2023-10-10,Walking,1570.12,250.677,2799.67
2023-10-11,Walking,1302.11,151.186,1051.9
2023-10-18,Walking,1536.20,102.508,1073.04
2023-10-19,Walking,783.89,64.1457,872.387
2023-11-04,Walking,327.78,36.0292,541.793
2023-11-10,Walking,1380.00,51.359,830.986
2023-12-04,Walking,1380.00,96.324,860.101
2023-12-07,Walking,1252.06,110.614,1691.37
2023-12-07,Walking,220.59,33.3002,405.649
2023-12-11,Walking,1440.00,100.512,
2024-01-05,Walking,507.67,59.0824,850.938
2024-01-29,Walking,1200.00,83.24,102.064
2024-01-30,Walking,788.72,84.5684,905.098
2024-02-11,Walking,566.14,67.5329,966.39
2024-02-25,Walking,1213.01,80.1674,1035.4
2024-03-02,Walking,1877.84,211.085,1462.35
2024-03-08,Walking,660.00,45.782,621.228
2024-03-13,Walking,1826.48,195.607,1446.12
2024-03-16,Walking,952.47,67.6438,1004.95
